model,outer_fold,scale_mult,alpha,cv_MAE,cv_MAE_sd,n,MAE,RMSE,R2,Spearman_rho
Li_scalar_RBF,1,1.0,0.004641588833612777,2.130621188468087,0.6729866644487007,43,1.234750729818232,1.7855049224051553,0.022299246028050335,0.351719711807282
Li_scalar_RBF,2,0.5,0.1,1.71114163263362,0.5451927744185925,43,1.6146672763726861,2.3431263983937307,-0.10242409450191836,0.4417702701912669
Li_scalar_RBF,3,1.0,0.1,1.6703809888386056,0.2385486841878085,43,2.018399685606791,2.5247657767759564,0.21585183542426978,0.5925032666279365
Li_scalar_RBF,4,2.0,0.004641588833612777,1.7402776810550127,0.07872872392456955,43,2.271602419107078,2.9703983067253703,0.5288377538697574,0.8437360728245075
Li_scalar_RBF,5,1.0,0.004641588833612777,1.7441343483959761,0.2140676375582779,42,2.2288074921354784,3.0750565124584757,-0.31400570341326106,0.4463084587358057
total_scalar_RBF,1,1.0,0.004641588833612777,2.141890344344125,0.16201454102036297,43,1.2301951261956439,1.8524401239132386,-0.0523790768591772,0.2063653869405972
total_scalar_RBF,2,1.0,0.1,2.1541764634213365,0.9870999981870151,43,1.5237825655020785,1.8396666236450008,0.32042793043823126,0.5147926536728137
total_scalar_RBF,3,2.0,0.004641588833612777,2.0458549762766274,1.0426825406435791,43,2.720399463387284,3.9132406438027862,-0.883775099707176,0.35671115031681894
total_scalar_RBF,4,0.5,0.1,1.6837181448938006,0.5142899008217919,43,2.672817534230548,3.7422144996297804,0.2521776158396205,0.6175005541036965
total_scalar_RBF,5,1.0,0.1,1.9957549426724888,0.7711700571659202,42,2.128810905337032,2.5326110569456985,0.10869150775048642,0.4300996895788853
all_scalar_RBF,1,1.0,0.1,2.0872420374538128,0.4007257305816894,43,1.0358361294666611,1.23204938633648,0.5344781394435048,0.27190697342593867
all_scalar_RBF,2,4.0,0.004641588833612777,1.613302357237684,0.3946719835187268,43,1.6169924925415924,2.238647296208733,-0.006302641062141623,0.48494740565234745
all_scalar_RBF,3,2.0,0.1,1.6087847302349996,0.4172308918916931,43,1.874722397889586,2.447909634431614,0.26286555739952866,0.5326483447951144
all_scalar_RBF,4,1.0,0.1,1.7511687426338027,0.12964921631123552,43,2.0575568368104533,2.6851654779933516,0.6149800651224644,0.8008163084178874
all_scalar_RBF,5,1.0,0.1,1.660955123551686,0.3506711389620422,42,1.7380923718482546,2.156555615335965,0.3537324164193648,0.6443796178333742
static_plus_Li_scalar_RBF,1,1.0,0.004641588833612777,2.0884180034611832,0.28370716277570796,43,1.90729955986432,2.1785938150467765,-0.45558100381435307,-0.09393287279696412
static_plus_Li_scalar_RBF,2,2.0,0.1,2.0520512068836867,0.5764863511263422,43,1.5304146974700807,2.038309385909525,0.16574758742425988,0.5181256255329674
static_plus_Li_scalar_RBF,3,2.0,0.1,1.9867219428169904,0.7274970422926613,43,2.273427735706248,2.8372941021139453,0.009704851489252708,0.4993956104435465
static_plus_Li_scalar_RBF,4,1.0,0.1,1.721271183137298,0.3880078655607928,43,2.5845754376907957,3.703193436829848,0.2676917912685456,0.7465620991855754
static_plus_Li_scalar_RBF,5,2.0,0.1,2.080682578486588,0.47867281687426927,42,1.7517467980143238,2.202730594915482,0.325761084745922,0.5720885073935088
static_plus_all_scalar_RBF,1,2.0,0.1,2.186073640718162,0.3438559505638666,43,1.476595418263864,1.6933326939640077,0.12063650334312914,0.11960584446172923
static_plus_all_scalar_RBF,2,2.0,0.1,2.031735408220403,0.6158078830332988,43,1.4636926504289427,1.9720059131922678,0.2191390794498651,0.5714531752954248
static_plus_all_scalar_RBF,3,2.0,0.1,1.9201857024240738,0.7307083510204058,43,2.2294935450191757,2.802669949058111,0.03372697721150786,0.5411126771755134
static_plus_all_scalar_RBF,4,1.0,0.1,1.6891296579407324,0.3455409130178878,43,2.523801381466045,3.576031358344226,0.3171210224430038,0.760465684838424
static_plus_all_scalar_RBF,5,2.0,0.1,1.981705519487129,0.4488334399721277,42,1.8042999583819148,2.233354858425252,0.30688305770849356,0.5683604904874171
