rule,status,n_train,n_test,train_rho_Li_fraction_below_5THz,test_rho_Li_fraction_below_5THz,scale_mult,weights,alpha,cv_MAE,cv_MAE_sd,n,MAE,RMSE,R2,Spearman_rho
all,ok,214,48,0.5315335637158232,0.3743889655016008,1.0,"(1.0,)",0.1,1.6941830993937244,0.2797082603798994,48.0,1.899146511522989,2.285145803569513,0.48555067583916456,0.6975509440726496
imag_fraction_le_0.05,ok,214,48,0.5315335637158232,0.3743889655016008,1.0,"(1.0,)",0.1,1.6941830993937244,0.2797082603798994,48.0,1.899146511522989,2.285145803569513,0.48555067583916456,0.6975509440726496
imag_fraction_le_0.02,ok,212,48,0.5513954308857731,0.3743889655016008,0.25,"(1.0,)",0.004641588833612777,1.6908412375680795,0.4516110914153492,48.0,1.8557930422574682,2.3962247291106293,0.4343212536577835,0.6158381443536416
imag_fraction_le_0.01,ok,212,47,0.5513954308857731,0.3420666214203237,0.25,"(1.0,)",0.004641588833612777,1.6908412375680795,0.4516110914153492,47.0,1.7815072713457476,2.292532067883814,0.46747209678694024,0.6547675937986324
imag_fraction_le_0.005,ok,208,46,0.5598372748752057,0.3305744119055228,0.25,"(1.0,)",0.1,1.7753437652401995,0.5797424994222367,46.0,1.7532208234995559,2.2476161238102574,0.48502351998968507,0.6780351428204094
min_frequency_ge_minus_2THz,ok,82,21,0.19798434932140485,0.3974025974025974,0.5,"(1.0,)",0.004641588833612777,1.3293637020233513,0.47323262960408147,21.0,1.3633439221942911,1.8387199108523373,0.06582659846657712,0.5151023331106428
min_frequency_ge_minus_1THz,too_few,1,0,,,,,,,,,,,,
combined_imag_1pct_and_min_minus1,too_few,1,0,,,,,,,,,,,,
