split,descriptor,n,spearman_rho,ci95_low,ci95_high
train,Li_fraction_below_5THz,214,0.14299284839813478,-0.007856204227225454,0.28342928721848937
train,Li_q05_THz,214,-0.25925983709326367,-0.39463820589824977,-0.10859138325026203
test,Li_fraction_below_5THz,48,0.20141025478593905,-0.113983537363902,0.4809286735599023
test,Li_q05_THz,48,-0.16182516280719406,-0.46932485200114643,0.16679068425905713
