model_A,model_B,metric,difference_A_minus_B,ci95_low,ci95_high,bootstrap_p_two_sided,better_direction
Li_scalar_RBF,li_wasserstein,MAE,0.06554731428025118,-0.15458387462465573,0.29788695907681045,0.5692,negative
Li_scalar_RBF,li_wasserstein,RMSE,0.11004882112353576,-0.15800915735178964,0.3769794037802041,0.4232,negative
Li_scalar_RBF,li_wasserstein,R2,-0.0507431715227501,-0.19734191712280907,0.080966724406429,0.4232,positive
Li_scalar_RBF,li_wasserstein,Spearman_rho,-0.09897468899939854,-0.28259622509137616,0.058974562696927746,0.244,positive
Li_scalar_RBF,static_plus_li_wasserstein,MAE,-0.07825808923028776,-0.4413009258613522,0.3022899156798821,0.6688,negative
Li_scalar_RBF,static_plus_li_wasserstein,RMSE,-0.17587409060001669,-0.5417956362449263,0.23599572435849234,0.3732,negative
Li_scalar_RBF,static_plus_li_wasserstein,R2,0.08604910937157229,-0.1246951679883803,0.3005526392789585,0.3732,positive
Li_scalar_RBF,static_plus_li_wasserstein,Spearman_rho,-0.018768409342931225,-0.25075368152313765,0.17903856732369833,0.8864,positive
total_scalar_RBF,li_wasserstein,MAE,0.7372375686332673,0.3213132668950599,1.1849652132784463,0.0012,negative
total_scalar_RBF,li_wasserstein,RMSE,1.1830801660030312,0.6593674256473785,1.6658197242636466,0.0,negative
total_scalar_RBF,li_wasserstein,R2,-0.6705812130251121,-0.994178350782339,-0.406570618061987,0.0,positive
total_scalar_RBF,li_wasserstein,Spearman_rho,-0.5628536062955553,-0.8236261684648285,-0.27860695587279805,0.0,positive
total_scalar_RBF,static_plus_li_wasserstein,MAE,0.5934321651227283,0.16597338114101637,1.0253327600429858,0.0044,negative
total_scalar_RBF,static_plus_li_wasserstein,RMSE,0.8971572542794788,0.36908260265512977,1.3657058471694103,0.0004,negative
total_scalar_RBF,static_plus_li_wasserstein,R2,-0.5337889321307897,-0.8559671285160317,-0.25097338352816606,0.0004,positive
total_scalar_RBF,static_plus_li_wasserstein,Spearman_rho,-0.48264732663908794,-0.7209729199577276,-0.23130113138214706,0.0004,positive
all_scalar_RBF,li_wasserstein,MAE,0.23792027041948294,-0.05019622730117673,0.5382927755540324,0.102,negative
all_scalar_RBF,li_wasserstein,RMSE,0.41129981958580997,0.09665314570366929,0.7328156110079027,0.012,negative
all_scalar_RBF,li_wasserstein,R2,-0.2018558752086682,-0.46292441627817993,-0.04557086030298836,0.012,positive
all_scalar_RBF,li_wasserstein,Spearman_rho,-0.20527460742284054,-0.3911435726384093,-0.027772805272815355,0.0204,positive
all_scalar_RBF,static_plus_li_wasserstein,MAE,0.094114866908944,-0.24990289581717254,0.44516726815279034,0.6172,negative
all_scalar_RBF,static_plus_li_wasserstein,RMSE,0.12537690786225753,-0.22252149519209308,0.49869077242478305,0.4988,negative
all_scalar_RBF,static_plus_li_wasserstein,R2,-0.06506359431434583,-0.30983216734691715,0.10861478717000259,0.4988,positive
all_scalar_RBF,static_plus_li_wasserstein,Spearman_rho,-0.12506832776637322,-0.2941058725090658,0.025911841645218793,0.1172,positive
static_plus_Li_scalar_RBF,li_wasserstein,MAE,0.9389303941319478,0.36633239837840953,1.554573404713639,0.0016,negative
static_plus_Li_scalar_RBF,li_wasserstein,RMSE,1.1772487042096191,0.5355606241868897,1.8647921738308302,0.0004,negative
static_plus_Li_scalar_RBF,li_wasserstein,R2,-0.6665995516503755,-1.4535312837457068,-0.2480388560010098,0.0004,positive
static_plus_Li_scalar_RBF,li_wasserstein,Spearman_rho,-0.2732760905494028,-0.4702782310625906,-0.09050019299159946,0.0016,positive
static_plus_Li_scalar_RBF,static_plus_li_wasserstein,MAE,0.7951249906214088,0.32935356030061325,1.3383157733604305,0.0008,negative
static_plus_Li_scalar_RBF,static_plus_li_wasserstein,RMSE,0.8913257924860667,0.28148913834149464,1.5954298822907602,0.0016,negative
static_plus_Li_scalar_RBF,static_plus_li_wasserstein,R2,-0.5298072707560532,-1.2875471935391536,-0.13597014899029825,0.0016,positive
static_plus_Li_scalar_RBF,static_plus_li_wasserstein,Spearman_rho,-0.19306981089293546,-0.3934149057576269,-0.02644809025173615,0.0192,positive
static_plus_all_scalar_RBF,li_wasserstein,MAE,0.8504974258308147,0.27210622682065255,1.4568688018452651,0.0036,negative
static_plus_all_scalar_RBF,li_wasserstein,RMSE,1.1298193969266888,0.4996680461112404,1.7877028550983614,0.0004,negative
static_plus_all_scalar_RBF,li_wasserstein,R2,-0.6344641825977628,-1.379647753158964,-0.24380349713514327,0.0004,positive
static_plus_all_scalar_RBF,li_wasserstein,Spearman_rho,-0.2682167802047865,-0.4617613532092903,-0.09897220580171301,0.002,positive
static_plus_all_scalar_RBF,static_plus_li_wasserstein,MAE,0.7066920223202757,0.24145766703533886,1.2512527798343607,0.0028,negative
static_plus_all_scalar_RBF,static_plus_li_wasserstein,RMSE,0.8438964852031363,0.2562116729055844,1.5435811005571878,0.0028,negative
static_plus_all_scalar_RBF,static_plus_li_wasserstein,R2,-0.49767190170344044,-1.2177144120420327,-0.12801820899930347,0.0028,positive
static_plus_all_scalar_RBF,static_plus_li_wasserstein,Spearman_rho,-0.1880105005483192,-0.39244760196675005,-0.01937553095748152,0.0272,positive
