split,Family,model,n,MAE,RMSE,R2,Spearman_rho
train_OOF,LGPS,static_rbf,11,0.2432187342086416,0.3890518675759147,-2.3747744757572766,0.7454545454545456
train_OOF,LGPS,li_wasserstein,11,0.9949718600165318,1.121942135736434,-27.06536303852785,-0.27272727272727276
train_OOF,LGPS,static_plus_li_wasserstein,11,0.43701024975638414,0.5272427564171316,-5.197991704679129,0.7636363636363637
train_OOF,LISICON,static_rbf,9,6.406211591805047,6.722257135033959,-1.537441922653103,-0.6166666666666666
train_OOF,LISICON,li_wasserstein,9,3.832101987860277,4.308920739488095,-0.04256437397233248,0.6333333333333333
train_OOF,LISICON,static_plus_li_wasserstein,9,4.790031418948037,5.282282202425275,-0.5667837841637231,-0.4666666666666666
train_OOF,NASICON,static_rbf,29,1.2388824198349209,1.7302513781940072,0.2087377420244979,0.6945812807881772
train_OOF,NASICON,li_wasserstein,29,1.5788714987248018,2.0695494445311815,-0.13201884549945886,0.3529991405024113
train_OOF,NASICON,static_plus_li_wasserstein,29,1.6672599413738545,2.2923816911759776,-0.3889157594102748,0.46108374384236434
train_OOF,Unknown,static_rbf,9,0.9091288624576591,1.5256925805417312,0.626678837439812,0.9500000000000001
train_OOF,Unknown,li_wasserstein,9,2.2859338898154844,3.112901095297097,-0.554100805800456,0.75
train_OOF,Unknown,static_plus_li_wasserstein,9,1.589521131438291,2.670754887949493,-0.14397518762814077,0.9
train_OOF,argyrodites,static_rbf,37,1.5733633461667085,1.6981491643528563,-2.0803849387933053,-0.3288288288288288
train_OOF,argyrodites,li_wasserstein,37,1.0584273439685201,1.3864763918386513,-1.053422317947112,-0.1236514531511162
train_OOF,argyrodites,static_plus_li_wasserstein,37,1.2825459944672513,1.4087919659765502,-1.1200546315514783,-0.34518729255571357
train_OOF,garnet,static_rbf,28,0.9042555783193106,1.4258077137035394,-1.6498443207848865,0.3442802408319649
train_OOF,garnet,li_wasserstein,28,0.83010520508014,1.0362876324703445,-0.39977769887404246,0.15270935960591134
train_OOF,garnet,static_plus_li_wasserstein,28,0.6872694574201003,0.9254962773352429,-0.11647188793497709,0.4055829228243021
train_OOF,oxides,static_rbf,23,1.2985114282096488,1.7873761682002534,-0.7586057258993875,0.13705978561918952
train_OOF,oxides,li_wasserstein,23,1.9201468312356247,2.4115336804878056,-2.201276750214486,-0.22677164529720448
train_OOF,oxides,static_plus_li_wasserstein,23,1.8439921065446705,2.209627159704433,-1.6876614099098433,-0.06578869709721097
train_OOF,perovskites,static_rbf,6,3.2588595137450276,3.686552590533659,-1.5366890510337274,-0.9856107606091624
train_OOF,perovskites,li_wasserstein,6,0.9766760958401214,1.1762125156457484,0.741775194201163,0.9276336570439174
train_OOF,perovskites,static_plus_li_wasserstein,6,1.76818848421353,2.0555918591429054,0.2113212397572014,0.4638168285219587
train_OOF,phosphates,static_rbf,9,2.6715747947949,3.6352238168805133,0.3014324718251644,0.6950150912113306
train_OOF,phosphates,li_wasserstein,9,2.0783913745571527,2.9807624718636747,0.53032134503411,0.9662404926596548
train_OOF,phosphates,static_plus_li_wasserstein,9,2.1213514282872694,3.1499792731172023,0.475480695823869,0.847579379526013
train_OOF,sulfides,static_rbf,5,1.63891880133153,1.9089975280839298,-0.305282685516844,0.49999999999999994
train_OOF,sulfides,li_wasserstein,5,1.4710614219130085,1.8755691824880245,-0.2599694687694756,0.09999999999999999
train_OOF,sulfides,static_plus_li_wasserstein,5,1.3405824686113381,1.5084237124043127,0.18503201778244405,0.49999999999999994
train_OOF,thio-LISICON,static_rbf,6,1.187930987580655,1.6588295769198829,-0.011499752001530084,0.2571428571428572
train_OOF,thio-LISICON,li_wasserstein,6,2.257404684609628,3.095499299882799,-2.5222782451075556,-0.3142857142857143
train_OOF,thio-LISICON,static_plus_li_wasserstein,6,2.244351889152506,2.463501453152417,-1.2308372403465206,-0.3142857142857143
official_test,Unknown,static_rbf,8,2.156302331272362,2.4284093301527068,-4.059490138399518,0.8095238095238096
official_test,Unknown,li_wasserstein,8,0.7757286151294787,0.8764897397182527,0.34089191151729226,0.6428571428571429
official_test,Unknown,static_plus_li_wasserstein,8,1.1330685111709617,1.2197906992552343,-0.27653757651281796,0.7380952380952381
official_test,garnet,static_rbf,8,0.6234619413270878,0.7233534262329995,0.40100598875838,0.7380952380952381
official_test,garnet,li_wasserstein,8,1.8062321174988263,1.8585650879303774,-2.954366737848582,0.19047619047619052
official_test,garnet,static_plus_li_wasserstein,8,0.8886484893874285,0.9607808200235897,-0.0567446163430394,0.880952380952381
official_test,perovskites,static_rbf,6,3.1323983456310933,3.700489653451133,-1.0284955029750673,-0.05797710356524484
official_test,perovskites,li_wasserstein,6,2.180076569420262,2.282371809327523,0.22833562705858013,0.34786262139146906
official_test,perovskites,static_plus_li_wasserstein,6,2.3699968443424186,2.7719316505895706,-0.13820554091059822,0.3188740696088466
