model,Li_weight,static_weight,intercept,train_OOF_MAE_used_for_selection,n,MAE,RMSE,R2,Spearman_rho,static_scale_mult,Li_scale_mult,alpha,cv_MAE,scale_mult,weights,cv_MAE_sd
late_fusion_simplex_stack,0.68,0.31999999999999995,0.36141929097901093,1.5737487911156933,48,1.8067779464303546,2.277741718977332,0.4888790022059659,0.6994360548465682,,,,,,,
early_fusion_fine_independent_bandwidths,0.45,0.55,,,48,2.0438460490489248,2.57943865179163,0.3445113491298424,0.5901440711655573,2.0,1.0,0.1,1.5904829636505893,,,
published_additive_kernel,,,,,48,2.042951915033528,2.5710687152930656,0.3487583949448422,0.6173446644161823,,,0.1,1.5996040536882132,1.0,"(0.3999999999999999, 0.6000000000000001)",0.3100868129921365
standalone_Li_Wasserstein,,,,,48,1.899146511522989,2.285145803569513,0.48555067583916456,0.6975509440726496,,,0.1,1.6941830993937244,1.0,"(1.0,)",0.2797082603798994
