scale_mult,alpha,cv_MAE,cv_MAE_sd,model,scope
0.25,9.999999999999999e-06,3.1315421413610203,1.1384085205993002,Li_scalar_RBF,outer_fold_1
0.25,0.00021544346900318823,2.6848984277105705,0.8439928014150219,Li_scalar_RBF,outer_fold_1
0.25,0.004641588833612777,2.655531038208805,0.8310696717387862,Li_scalar_RBF,outer_fold_1
0.25,0.1,2.66349029379829,0.8200146114674898,Li_scalar_RBF,outer_fold_1
0.25,2.154434690031882,3.074468416704975,0.8674244224182894,Li_scalar_RBF,outer_fold_1
0.25,46.41588833612773,5.808658253340762,0.8254419880093646,Li_scalar_RBF,outer_fold_1
0.25,1000.0,6.484136327876118,0.7832067331935519,Li_scalar_RBF,outer_fold_1
0.5,9.999999999999999e-06,2.423231506818783,0.9836587294306748,Li_scalar_RBF,outer_fold_1
0.5,0.00021544346900318823,2.1815564787774218,0.6594301827766054,Li_scalar_RBF,outer_fold_1
0.5,0.004641588833612777,2.1713726447862185,0.6592761659112553,Li_scalar_RBF,outer_fold_1
0.5,0.1,2.1975884475004492,0.6266053848351432,Li_scalar_RBF,outer_fold_1
0.5,2.154434690031882,2.238122285083049,0.5072570522269012,Li_scalar_RBF,outer_fold_1
0.5,46.41588833612773,4.207436139278519,0.877435859775052,Li_scalar_RBF,outer_fold_1
0.5,1000.0,6.335965713494598,0.7927220422168909,Li_scalar_RBF,outer_fold_1
1.0,9.999999999999999e-06,3.655276448815538,0.7402361218320467,Li_scalar_RBF,outer_fold_1
1.0,0.00021544346900318823,2.6232227979291207,0.5308161784940229,Li_scalar_RBF,outer_fold_1
1.0,0.004641588833612777,2.130621188468087,0.6729866644487007,Li_scalar_RBF,outer_fold_1
1.0,0.1,2.2168141621335327,0.44980693611436456,Li_scalar_RBF,outer_fold_1
1.0,2.154434690031882,2.1934138913124146,0.28821520019530894,Li_scalar_RBF,outer_fold_1
1.0,46.41588833612773,3.0920426415612092,0.8280549772677683,Li_scalar_RBF,outer_fold_1
1.0,1000.0,6.067747019086047,0.8090167502093518,Li_scalar_RBF,outer_fold_1
2.0,9.999999999999999e-06,2.9947163902656913,0.8247676363006464,Li_scalar_RBF,outer_fold_1
2.0,0.00021544346900318823,2.508237531621497,1.049300240199513,Li_scalar_RBF,outer_fold_1
2.0,0.004641588833612777,2.4061437033883615,0.7225533824291177,Li_scalar_RBF,outer_fold_1
2.0,0.1,2.2139767234762004,0.15209311450184979,Li_scalar_RBF,outer_fold_1
2.0,2.154434690031882,2.3240972987466604,0.40334325528353177,Li_scalar_RBF,outer_fold_1
2.0,46.41588833612773,2.7840776024327942,0.7097653149230055,Li_scalar_RBF,outer_fold_1
2.0,1000.0,5.878199366685556,0.8115559301569396,Li_scalar_RBF,outer_fold_1
4.0,9.999999999999999e-06,2.864519067068283,1.3887517812964218,Li_scalar_RBF,outer_fold_1
4.0,0.00021544346900318823,2.5478242463135943,0.9103006847873978,Li_scalar_RBF,outer_fold_1
4.0,0.004641588833612777,2.2520706099130354,0.20804886704746725,Li_scalar_RBF,outer_fold_1
4.0,0.1,2.2461710628672114,0.27074018667166194,Li_scalar_RBF,outer_fold_1
4.0,2.154434690031882,2.4560792099935944,0.5143926129584022,Li_scalar_RBF,outer_fold_1
