warp,warp_family,parameter,scale_mult,weights,alpha,cv_MAE,cv_MAE_sd,n,MAE,RMSE,R2,Spearman_rho,train_rho_fraction_below_5THz,test_rho_fraction_below_5THz,train_rho_q05,test_rho_q05,max_abs_prediction_change_vs_unwarped,mean_abs_prediction_change_vs_unwarped
identity,identity,1.0,1.0,"(1.0,)",0.1,1.6941830993937244,0.2797082603798994,48,1.899146511522989,2.285145803569513,0.48555067583916456,0.6975509440726496,0.5315335637158232,0.3743889655016008,-0.6075117386303199,-0.39315737484453195,0.0,0.0
global_scale_0.85,global_scale,0.85,1.0,"(1.0,)",0.1,1.6941927261072878,0.2797114713560905,48,1.8991465115227222,2.2851458035693617,0.48555067583923284,0.6975509440726496,0.5341378050726915,0.2911007489681875,-0.6075117386303199,-0.39315737484453195,4.746425474877469e-12,1.0934216495191624e-12
global_scale_0.90,global_scale,0.9,1.0,"(1.0,)",0.1,1.694231667966963,0.27970224110957964,48,1.8991465115228723,2.2851458035694607,0.4855506758391881,0.6975509440726496,0.5341378050726915,0.2911007489681875,-0.6075117386303199,-0.39315737484453195,2.665423437520076e-12,1.0264937048513427e-12
global_scale_0.95,global_scale,0.95,1.0,"(1.0,)",0.1,1.6941830993938733,0.2797082603798274,48,1.8991465115231323,2.2851458035697645,0.4855506758390513,0.6978584204380318,0.5315335637158232,0.3743889655016008,-0.6075117386303199,-0.39315737484453195,3.4425795547576854e-12,1.0593933138144014e-12
global_scale_1.05,global_scale,1.05,1.0,"(1.0,)",0.1,1.6941830993937634,0.27970826038001667,48,1.8991465115225266,2.2851458035692063,0.4855506758393028,0.6975509440726496,0.5315335637158232,0.3743889655016008,-0.6075117386303199,-0.39315737484453195,5.593747687271389e-12,1.6834589278147405e-12
global_scale_1.10,global_scale,1.1,1.0,"(1.0,)",0.1,1.6942316679672584,0.27970224110957276,48,1.8991465115234842,2.285145803569891,0.48555067583899436,0.6975509440726496,0.5315335637158232,0.3743889655016008,-0.6075117386303199,-0.39315737484453195,4.75264272381537e-12,1.791548391120538e-12
global_scale_1.15,global_scale,1.15,1.0,"(1.0,)",0.1,1.6942316679672054,0.27970224110961855,48,1.8991465115229413,2.2851458035695895,0.48555067583913014,0.6975509440726496,0.5512047446071529,0.4189435372461244,-0.6075117386303199,-0.39315737484453195,3.2089886303765525e-12,1.0185371065081956e-12
power_0.90,power,0.9,1.0,"(1.0,)",0.1,1.7040058809542011,0.2730949393048799,48,1.906712062537439,2.2953239518562474,0.4809577063131073,0.6906418058806961,0.5315335637158232,0.3743889655016008,-0.6075117386303199,-0.39315737484453195,0.13317477389569277,0.03847872988494342
power_0.95,power,0.95,1.0,"(1.0,)",0.1,1.6991658856596814,0.27617979752769767,48,1.9025494324899188,2.2896026367820266,0.48354200687306037,0.6985112346760468,0.5315335637158232,0.3743889655016008,-0.6075117386303199,-0.39315737484453195,0.06465746580566467,0.01860004127684221
power_1.05,power,1.05,1.0,"(1.0,)",0.1,1.6898016611578268,0.28258536398438217,48,1.895989142065253,2.281540115508562,0.4871728746003571,0.692763509734918,0.5315335637158232,0.3743889655016008,-0.6075117386303199,-0.39315737484453195,0.064803067275502,0.017957424577587394
power_1.10,power,1.1,1.0,"(1.0,)",0.1,1.6858107886211617,0.28598130204077526,48,1.8931343352358185,2.278825422346345,0.488392524471717,0.6975320133190245,0.5315335637158232,0.3743889655016008,-0.6075117386303199,-0.39315737484453195,0.12968883242478668,0.035493757534024124
lowfreq_warp_-0.10,lowfreq_warp,-0.1,1.0,"(1.0,)",0.1,1.6867420946834035,0.28669327765095004,48,1.8968806380778336,2.282078341580649,0.4869308893866545,0.7018841082391244,0.5315335637158232,0.3743889655016008,-0.6075117386303199,-0.39315737484453195,0.11571518935326175,0.0286253349396411
lowfreq_warp_-0.05,lowfreq_warp,-0.05,1.0,"(1.0,)",0.1,1.6903860187937165,0.28322240625995726,48,1.8979600416801723,2.283469114366092,0.4863053368127528,0.6987478026570824,0.5315335637158232,0.3743889655016008,-0.6075117386303199,-0.39315737484453195,0.05829094568770454,0.014398304024813105
lowfreq_warp_+0.05,lowfreq_warp,0.05,1.0,"(1.0,)",0.1,1.6984571597373392,0.27574682267290157,48,1.9003165479768793,2.2870260269670823,0.4847037473021415,0.6961175824699919,0.5315335637158232,0.3743889655016008,-0.6075117386303199,-0.39315737484453195,0.058430533598786916,0.014334009231540776
lowfreq_warp_+0.10,lowfreq_warp,0.1,1.0,"(1.0,)",0.1,1.7027341715429656,0.271902736538916,48,1.9017243714549237,2.28931168220005,0.48367325783290915,0.6937427576676359,0.5315335637158232,0.3743889655016008,-0.6075117386303199,-0.39315737484453195,0.11870010760056182,0.0291871596316113
