Frequency_THz,Total_DOS
-52.665549472107784,0.0
-49.50183709299156,0.0
-46.33812471387533,0.0
-43.174412334759104,0.0
-40.01069995564288,0.0
-36.84698757652665,0.0
-33.683275197410424,0.0
-30.519562818294197,0.0
-27.35585043917797,0.0
-24.192138060061744,0.0
-21.028425680945517,0.0
-17.86471330182929,0.0
-14.701000922713064,0.0
-11.537288543596837,0.0
-8.37357616448061,0.0
-5.209863785364384,0.0
-2.046151406248157,0.0
1.1175609728680698,5.418046501372689
4.2812733519842965,12.30105728166292
7.444985731100523,14.514756127671872
10.60869811021675,0.0
13.77241048933297,10.860824597822639
16.936122868449203,0.0
20.099835247565437,0.0
23.263547626681657,0.0
26.427260005797876,0.0
29.59097238491411,0.0
32.754684764030344,0.0
35.918397143146564,0.0
39.08210952226278,0.0
42.24582190137902,0.0
45.40953428049525,0.0
48.57324665961147,0.0
51.73695903872769,0.0
54.900671417843924,0.0
58.06438379696016,0.0
61.22809617607638,0.0
64.3918085551926,0.0
67.55552093430883,0.0
70.71923331342506,0.0
73.88294569254128,0.0
77.0466580716575,0.0
80.21037045077372,0.0
83.37408282988997,0.0
86.53779520900619,0.0
89.70150758812241,0.0
92.86521996723866,0.0
96.02893234635488,0.0
99.1926447254711,0.0
102.35635710458732,0.0
105.52006948370354,0.0
108.68378186281979,0.0
111.847494241936,0.0
115.01120662105222,0.0
118.17491900016847,0.0
121.33863137928469,0.0
124.50234375840091,0.0
127.66605613751713,0.0
130.82976851663335,0.0
133.9934808957496,0.0
137.15719327486582,0.0
140.32090565398204,0.0
143.4846180330983,0.0
146.6483304122145,0.0
149.81204279133073,0.0
152.97575517044694,0.0
156.13946754956316,0.0
159.3031799286794,0.0
162.46689230779563,0.0
165.63060468691185,0.0
168.7943170660281,0.0
171.95802944514432,0.0
175.12174182426054,0.0
178.28545420337676,0.0
181.44916658249298,0.0
184.61287896160923,0.0
187.77659134072545,0.0
190.94030371984167,0.0
194.1040160989579,0.0
197.26772847807413,0.0
200.43144085719035,0.0
203.5951532363066,0.0
206.7588656154228,0.0
209.92257799453904,0.0
213.08629037365523,0.0
216.25000275277148,0.0
219.41371513188773,0.0
222.57742751100392,0.0
225.74113989012017,0.0
228.90485226923641,0.0
232.0685646483526,0.0
235.23227702746885,0.0
238.3959894065851,0.0
241.5597017857013,0.0
244.72341416481754,0.0
247.88712654393373,0.0
251.05083892304998,0.0
254.21455130216623,0.0
257.3782636812824,0.0
260.54197606039867,0.0
263.70568843951486,0.0
266.8694008186311,0.0
270.03311319774735,0.0
273.19682557686355,0.0
276.3605379559798,0.0
279.52425033509604,0.0
282.68796271421223,0.0
285.8516750933285,0.0
289.01538747244473,0.0
292.1790998515609,0.0
295.34281223067717,0.0
298.50652460979336,0.0
301.6702369889096,0.0
304.83394936802586,0.0
307.99766174714205,0.0
311.1613741262583,0.0
314.3250865053745,0.0
317.48879888449073,0.0
320.652511263607,0.0
323.8162236427232,0.0
326.9799360218394,0.0
330.14364840095567,0.0
333.30736078007186,0.0
336.4710731591881,0.0
339.63478553830436,0.0
342.79849791742055,0.0
345.9622102965368,0.0
349.125922675653,0.0
352.28963505476924,0.0
355.4533474338855,0.0
358.6170598130017,0.0
361.7807721921179,0.0
364.9444845712341,0.0
368.10819695035036,0.0
371.2719093294666,0.0
374.4356217085828,0.0
377.59933408769905,0.0
380.7630464668153,0.0
383.9267588459315,0.0
387.09047122504774,0.0
390.254183604164,0.0
393.4178959832802,0.0
396.5816083623964,0.0
399.7453207415126,0.0
402.90903312062886,0.0
406.0727454997451,0.0
409.2364578788613,0.0
412.40017025797755,0.0
415.56388263709374,0.0
418.72759501621,0.0
421.89130739532624,0.0
425.0550197744424,0.0
428.2187321535587,0.0
431.3824445326749,0.0
434.5461569117911,0.0
437.70986929090736,0.0
440.8735816700236,0.0
444.0372940491398,0.0
447.20100642825605,0.0
450.36471880737224,0.0
453.5284311864885,0.0
456.69214356560474,0.0
459.855855944721,0.0
463.0195683238372,0.0
466.18328070295337,0.0
469.3469930820697,0.0
472.51070546118586,0.0
475.67441784030206,0.0
478.83813021941825,0.0
482.00184259853455,0.0
485.16555497765074,0.0
488.32926735676693,0.0
491.49297973588324,0.0
494.65669211499943,0.0
497.8204044941156,0.0
500.9841168732319,0.0
504.1478292523481,0.0
507.3115416314643,0.0
510.4752540105806,0.0
513.6389663896969,0.0
516.8026787688129,0.0
519.9663911479292,0.0
523.1301035270455,0.0
526.2938159061616,0.0
529.4575282852779,0.0
532.6212406643942,0.0
535.7849530435103,0.0
538.9486654226266,0.0
542.1123778017429,0.0
545.276090180859,0.0
548.4398025599753,0.0
551.6035149390916,0.0
554.7672273182077,0.0
557.930939697324,0.0
561.0946520764403,0.0
564.2583644555564,0.0
567.4220768346727,0.0
570.585789213789,0.0
573.7495015929051,0.0
576.9132139720214,0.0
580.0769263511374,0.0
