bin_width,strongest_frequency_THz,strongest_train_rho,maxT_p
0.5THz,1.25,0.5883618961051853,0.0001999600079984
1THz,1.5,0.5829573754629146,0.0001999600079984
2THz,1.0,0.5822939095985324,0.0001999600079984
