model,label,evaluation,n,MAE,RMSE,R2,Spearman_rho
li_rbf,Li-PDOS RBF,official_test,48,2.894741815009715,4.363743031461105,-0.8760011780515378,0.4478849684647892
li_clr_rbf,Li-PDOS CLR–RBF,official_test,48,2.6682693975796425,3.4778452117115064,-0.1916130976467049,0.3039394289824824
total_cdf_rbf,Total-DOS CDF–RBF,official_test,48,2.5101970870593777,3.3343584992172297,-0.095315803944783,0.2610168928329963
static_rbf,Static RBF,official_test,48,2.3305555595868506,3.0842849950271733,0.0628183592016103,0.3937557878960457
static_plus_total_wasserstein,Static + total Wasserstein,official_test,48,2.3305555595868506,3.0842849950271733,0.0628183592016103,0.3937557878960457
total_wasserstein,Total-DOS Wasserstein,official_test,48,2.2714550305500385,3.022608237055169,0.0999254267165793,0.3632911234553458
total_rbf,Total-DOS RBF,official_test,48,2.20320944288324,2.989982955373969,0.1192509257137953,0.3983798887486519
li_cdf_rbf,Li-PDOS CDF–RBF,official_test,48,2.244411298810689,2.7657056167545133,0.2464246679971173,0.5937889506611411
li_linear,Li-PDOS linear,official_test,48,2.139178417188392,2.7217784074174487,0.2701723734032779,0.5085422914136827
static_plus_li_wasserstein,Static + Li Wasserstein,official_test,48,2.042951915033528,2.5710687152930656,0.3487583949448422,0.6173446644161823
static_plus_li_plus_total,Static + Li + total Wasserstein,official_test,48,2.0032668725193576,2.4983055846191813,0.3850980253108795,0.6346986429100809
li_wasserstein,Li-PDOS Wasserstein,official_test,48,1.899146511522989,2.285145803569513,0.4855506758391645,0.6975509440726496
