model,metric,point,ci95_low,ci95_high,n_bootstrap,display
li_rbf,MAE,2.894741815009715,2.100388142178394,3.9123759904027406,5000,Li-PDOS RBF
li_clr_rbf,MAE,2.6682693975796425,2.066492229498696,3.309030648708964,5000,Li-PDOS CLR–RBF
total_cdf_rbf,MAE,2.5101970870593777,1.946175713869216,3.186770554493765,5000,Total-DOS CDF–RBF
static_rbf,MAE,2.3305555595868506,1.7736834876516037,2.933070324086087,5000,Static RBF
static_plus_total_wasserstein,MAE,2.3305555595868506,1.7736834876516037,2.933070324086087,5000,Static + total Wasserstein
total_wasserstein,MAE,2.2714550305500385,1.739309299178738,2.8653626749642926,5000,Total-DOS Wasserstein
li_cdf_rbf,MAE,2.244411298810689,1.8061387431270304,2.69928941916159,5000,Li-PDOS CDF–RBF
total_rbf,MAE,2.20320944288324,1.6541341390420692,2.81204807908554,5000,Total-DOS RBF
li_linear,MAE,2.139178417188392,1.6903344369714473,2.646235296747925,5000,Li-PDOS linear
static_plus_li_wasserstein,MAE,2.042951915033528,1.6187704353769967,2.499191944062091,5000,Static + Li Wasserstein
static_plus_li_plus_total,MAE,2.0032668725193576,1.5997457368941976,2.439520679779251,5000,Static + Li + total Wasserstein
li_wasserstein,MAE,1.899146511522989,1.5540272224683818,2.2706493763064923,5000,Li-PDOS Wasserstein
