model,evaluation,n,MAE,RMSE,R2,Spearman_rho
total_scalar_RBF,official_test,48,2.6363840801562564,3.4682259695725444,-0.1850305371859475,0.1346973377770944
static_plus_Li_scalar_RBF,official_test,48,2.838076905654937,3.4623945077791323,-0.1810488758112109,0.4242748535232468
static_plus_all_scalar_RBF,official_test,48,2.749643937353804,3.414965200496202,-0.1489135067585982,0.4293341638678631
all_scalar_RBF,official_test,48,2.137066781942472,2.696445623155323,0.2836948006304963,0.4922763366498091
Li_scalar_RBF,official_test,48,1.9646938258032405,2.395194624693049,0.4348075043164144,0.5985762550732511
