Family,model,n,MAE,RMSE,R2,Spearman_rho,label
LGPS,static_rbf,11,0.5500018734571678,0.5757322451696414,-6.390449512619408,0.790909090909091,LGPS | static_rbf
garnet,static_plus_li_wasserstein,28,0.9037840500312568,1.1204475533900282,-0.6363699858088772,0.3431855500821018,garnet | static_plus_li_wasserstein
argyrodites,static_plus_li_wasserstein,37,0.985487201725,1.2119664430773465,-0.5690417883392938,-0.2681365576102418,argyrodites | static_plus_li_wasserstein
argyrodites,li_wasserstein,37,1.023591069107051,1.318923340495598,-0.8581998794260668,-0.0783639602424619,argyrodites | li_wasserstein
LGPS,static_plus_li_wasserstein,11,1.3917462855579392,1.4515869487691748,-45.98030766377278,0.1,LGPS | static_plus_li_wasserstein
argyrodites,static_rbf,37,1.4165091184395415,1.5943198043517035,-1.71521485822763,-0.3323850165955428,argyrodites | static_rbf
LGPS,li_wasserstein,11,1.704380404839897,1.810177393483204,-72.05871355176033,-0.0636363636363636,LGPS | li_wasserstein
garnet,static_rbf,28,1.7150929733340017,2.01603942479358,-4.297811251164288,0.3738368910782703,garnet | static_rbf
oxides,static_rbf,23,1.7448331711624991,2.1859518024131472,-1.6303753194130834,0.2855827533083476,oxides | static_rbf
oxides,static_plus_li_wasserstein,23,1.988567238144864,2.272863876232191,-1.8436975858586664,0.1649701419634608,oxides | static_plus_li_wasserstein
oxides,li_wasserstein,23,2.027144112916221,2.5372093740653785,-2.5436365413477677,-0.1893917037646982,oxides | li_wasserstein
phosphates,li_wasserstein,9,2.055109004462822,2.738707753788496,0.603505226556499,0.847579379526013,phosphates | li_wasserstein
phosphates,static_plus_li_wasserstein,9,2.055109004462822,2.738707753788496,0.603505226556499,0.847579379526013,phosphates | static_plus_li_wasserstein
garnet,li_wasserstein,28,2.4336791248849856,2.599269415005905,-7.806453231306737,0.1488779419813902,garnet | li_wasserstein
NASICON,static_plus_li_wasserstein,29,2.7881596723352837,3.199369057251624,-1.705395253573101,-0.1502463054187191,NASICON | static_plus_li_wasserstein
NASICON,static_rbf,29,3.101756685991273,3.4342329440013093,-2.1171775758319686,-0.389655172413793,NASICON | static_rbf
phosphates,static_rbf,9,3.1672294706752457,3.782590980432853,0.2436464503522498,0.6611119160302902,phosphates | static_rbf
LISICON,li_wasserstein,9,3.310750199912789,3.815808997295252,0.1824033098142358,0.7333333333333334,LISICON | li_wasserstein
LISICON,static_plus_li_wasserstein,9,3.376062923225533,3.9639410566457154,0.1176919428332207,0.7666666666666667,LISICON | static_plus_li_wasserstein
NASICON,li_wasserstein,29,3.4467361085594383,3.792633916701757,-2.8017529569544624,-0.2224411890255948,NASICON | li_wasserstein
LISICON,static_rbf,9,3.907307366833956,4.414735160909222,-0.0943977215094333,0.2666666666666666,LISICON | static_rbf
