censor_policy,model,n_train,n_test,scale_mult,weights,alpha,cv_MAE,cv_MAE_sd,MAE,RMSE,R2,Spearman_rho,label
exclude,static_plus_li_wasserstein,191,40,1.0,"(0.3999999999999999, 0.6000000000000001)",0.0046415888336127,1.422958225289756,0.2128965020889035,2.354836018061504,3.2815703079119056,-0.190705248456134,0.4332082551594747,exclude | static_plus_li_wasserstein
half_limit,static_rbf,214,48,1.0,"(1.0,)",0.1,1.7037211809645822,0.3376879419647872,2.401801848126993,3.1655299517161644,0.0479970647689889,0.4165498850400694,half_limit | static_rbf
limit,static_rbf,214,48,1.0,"(1.0,)",0.1,1.680273308110939,0.3245340733045307,2.3305555595868506,3.0842849950271733,0.0628183592016103,0.3937557878960457,limit | static_rbf
exclude,static_rbf,191,40,0.5,"(1.0,)",0.1,1.6796361069665515,0.4768049590762271,2.097280660146109,2.751631921827996,0.1628148443917394,0.3795497185741089,exclude | static_rbf
limit,static_plus_li_wasserstein,214,48,1.0,"(0.3999999999999999, 0.6000000000000001)",0.1,1.5996040536882132,0.3100868129921365,2.042951915033528,2.5710687152930656,0.3487583949448422,0.6173446644161823,limit | static_plus_li_wasserstein
half_limit,static_plus_li_wasserstein,214,48,1.0,"(0.19999999999999996, 0.8)",0.1,1.606029575413256,0.3361579331305648,2.0144620849801185,2.4940902597698877,0.4090241066441747,0.6690801927788708,half_limit | static_plus_li_wasserstein
exclude,li_wasserstein,191,40,0.25,"(1.0,)",0.0046415888336127,1.580643165995015,0.2437406862912021,1.7876127482002446,2.265049415037398,0.4327216576909476,0.5382739212007505,exclude | li_wasserstein
limit,li_wasserstein,214,48,1.0,"(1.0,)",0.1,1.6941830993937244,0.2797082603798994,1.899146511522989,2.285145803569513,0.4855506758391645,0.6975509440726496,limit | li_wasserstein
half_limit,li_wasserstein,214,48,1.0,"(1.0,)",0.1,1.7094922853319354,0.2851394845291349,1.9231707145023944,2.3005783651766167,0.4971719508091941,0.7044056796016742,half_limit | li_wasserstein
