rule,status,n_train,n_test,train_rho_Li_fraction_below_5THz,test_rho_Li_fraction_below_5THz,scale_mult,weights,alpha,cv_MAE,cv_MAE_sd,n,MAE,RMSE,R2,Spearman_rho
min_frequency_ge_minus_2THz,ok,82,21,0.1979843493214048,0.3974025974025974,0.5,"(1.0,)",0.0046415888336127,1.3293637020233513,0.4732326296040814,21.0,1.3633439221942911,1.838719910852337,0.0658265984665771,0.5151023331106428
imag_fraction_le_0.02,ok,212,48,0.5513954308857731,0.3743889655016008,0.25,"(1.0,)",0.0046415888336127,1.6908412375680797,0.4516110914153492,48.0,1.855793042257468,2.3962247291106293,0.4343212536577835,0.6158381443536416
imag_fraction_le_0.01,ok,212,47,0.5513954308857731,0.3420666214203237,0.25,"(1.0,)",0.0046415888336127,1.6908412375680797,0.4516110914153492,47.0,1.7815072713457476,2.292532067883814,0.4674720967869402,0.6547675937986324
imag_fraction_le_0.005,ok,208,46,0.5598372748752057,0.3305744119055228,0.25,"(1.0,)",0.1,1.7753437652401995,0.5797424994222367,46.0,1.753220823499556,2.247616123810257,0.485023519989685,0.6780351428204094
all,ok,214,48,0.5315335637158232,0.3743889655016008,1.0,"(1.0,)",0.1,1.6941830993937244,0.2797082603798994,48.0,1.899146511522989,2.285145803569513,0.4855506758391645,0.6975509440726496
imag_fraction_le_0.05,ok,214,48,0.5315335637158232,0.3743889655016008,1.0,"(1.0,)",0.1,1.6941830993937244,0.2797082603798994,48.0,1.899146511522989,2.285145803569513,0.4855506758391645,0.6975509440726496
