split,representation,censor_policy,feature,bin_center_THz,n,spearman_rho
train,total_shape,half_limit,totalDOS_032.00_033.00THz,32.5,214,-0.1943289394865163
train,total_shape,half_limit,totalDOS_033.00_034.00THz,33.5,214,-0.10512464862244343
train,total_shape,half_limit,totalDOS_034.00_035.00THz,34.5,214,-0.021246374137541383
train,total_shape,half_limit,totalDOS_035.00_036.00THz,35.5,214,-0.016823955885122737
train,total_shape,half_limit,totalDOS_036.00_037.00THz,36.5,214,0.05453668806514274
train,total_shape,half_limit,totalDOS_037.00_038.00THz,37.5,214,0.03068527171628926
train,total_shape,half_limit,totalDOS_038.00_039.00THz,38.5,214,-0.13742868261670022
train,total_shape,half_limit,totalDOS_039.00_040.00THz,39.5,214,-0.11230939978480878
train,total_shape,half_limit,totalDOS_040.00_041.00THz,40.5,214,-0.11276566776665418
train,total_shape,half_limit,totalDOS_041.00_042.00THz,41.5,214,-0.11090846429125524
train,total_shape,half_limit,totalDOS_042.00_043.00THz,42.5,214,-0.11442502998916397
train,total_shape,half_limit,totalDOS_043.00_044.00THz,43.5,214,-0.11459358439317435
train,total_shape,half_limit,totalDOS_044.00_045.00THz,44.5,214,-0.06056253377428847
train,total_shape,half_limit,totalDOS_045.00_046.00THz,45.5,214,-0.08938673251846069
train,total_shape,half_limit,totalDOS_046.00_047.00THz,46.5,214,-0.039396434151419094
train,total_shape,half_limit,totalDOS_048.00_049.00THz,48.5,214,-0.039396434151419094
train,total_shape,half_limit,totalDOS_049.00_050.00THz,49.5,214,-0.10194094733656246
train,total_shape,half_limit,totalDOS_050.00_051.00THz,50.5,214,-0.11096049928836961
train,total_shape,half_limit,totalDOS_051.00_052.00THz,51.5,214,-0.08797318332876677
train,total_shape,half_limit,totalDOS_052.00_053.00THz,52.5,214,-0.07074977254628918
train,total_shape,half_limit,totalDOS_053.00_054.00THz,53.5,214,-0.07083063362977499
train,total_shape,half_limit,totalDOS_054.00_055.00THz,54.5,214,-0.056042814778779274
train,total_shape,half_limit,totalDOS_055.00_056.00THz,55.5,214,-0.056042814778779274
train,total_shape,half_limit,totalDOS_056.00_057.00THz,56.5,214,-0.056042814778779274
train,total_shape,half_limit,totalDOS_086.00_087.00THz,86.5,214,0.043835468985381806
train,total_shape,half_limit,totalDOS_087.00_088.00THz,87.5,214,0.043835468985381806
train,total_shape,half_limit,totalDOS_090.00_091.00THz,90.5,214,0.043835468985381806
train,total_shape,half_limit,totalDOS_091.00_092.00THz,91.5,214,0.043835468985381806
train,total_shape,exclude,totalDOS_000.00_001.00THz,0.5,191,0.47801728443823266
train,total_shape,exclude,totalDOS_001.00_002.00THz,1.5,191,0.4857398241273791
train,total_shape,exclude,totalDOS_002.00_003.00THz,2.5,191,0.46735143067041734
train,total_shape,exclude,totalDOS_003.00_004.00THz,3.5,191,0.3584651710725697
train,total_shape,exclude,totalDOS_004.00_005.00THz,4.5,191,0.25213472077416305
train,total_shape,exclude,totalDOS_005.00_006.00THz,5.5,191,0.3798106565559062
train,total_shape,exclude,totalDOS_006.00_007.00THz,6.5,191,0.3765435607061491
train,total_shape,exclude,totalDOS_007.00_008.00THz,7.5,191,0.3282983545705428
train,total_shape,exclude,totalDOS_008.00_009.00THz,8.5,191,0.0965765244443744
train,total_shape,exclude,totalDOS_009.00_010.00THz,9.5,191,0.06717266179656065
train,total_shape,exclude,totalDOS_010.00_011.00THz,10.5,191,0.1122549678119356
