model,metric,point,ci95_low,ci95_high,n_bootstrap
static_rbf,MAE,2.3305555595868506,1.7736834876516037,2.933070324086087,5000
static_rbf,RMSE,3.0842849950271733,2.3944138421300525,3.733018420963124,5000
static_rbf,R2,0.06281835920161039,-0.4729711335041561,0.3435663601516218,5000
static_rbf,Spearman_rho,0.39375578789604576,0.11002381183428568,0.6347716009075318,5000
li_linear,MAE,2.139178417188392,1.6903344369714473,2.646235296747925,5000
li_linear,RMSE,2.7217784074174487,2.0894796700715714,3.3609732505157073,5000
li_linear,R2,0.27017237340327793,-0.1621919409325914,0.49844093910030096,5000
li_linear,Spearman_rho,0.5085422914136827,0.20841017846190185,0.7281477397207365,5000
li_rbf,MAE,2.894741815009715,2.100388142178394,3.9123759904027406,5000
li_rbf,RMSE,4.363743031461105,2.664620151750815,6.302201063937743,5000
li_rbf,R2,-0.8760011780515378,-4.074694711202835,0.3289759907591953,5000
li_rbf,Spearman_rho,0.44788496846478926,0.2050857218016435,0.6409004001672087,5000
li_clr_rbf,MAE,2.6682693975796425,2.066492229498696,3.309030648708964,5000
li_clr_rbf,RMSE,3.4778452117115064,2.732175783954367,4.243822042690851,5000
li_clr_rbf,R2,-0.19161309764670498,-0.7038343191676941,0.08999254775027708,5000
li_clr_rbf,Spearman_rho,0.30393942898248244,0.04837565716451731,0.522386286969253,5000
li_cdf_rbf,MAE,2.2444112988106895,1.8061387431270306,2.69928941916159,5000
li_cdf_rbf,RMSE,2.7657056167545133,2.2277199377008343,3.289194153848357,5000
li_cdf_rbf,R2,0.24642466799711737,-0.12964734817309678,0.4365628781155583,5000
li_cdf_rbf,Spearman_rho,0.5937889506611411,0.37694775295979116,0.7483481960551187,5000
li_wasserstein,MAE,1.899146511522989,1.5540272224683818,2.2706493763064923,5000
li_wasserstein,RMSE,2.285145803569513,1.8719855627179982,2.7172386936120727,5000
li_wasserstein,R2,0.48555067583916456,0.3015579434036921,0.5798450067165959,5000
li_wasserstein,Spearman_rho,0.6975509440726496,0.5088561648133612,0.812334974825348,5000
total_rbf,MAE,2.20320944288324,1.6541341390420692,2.81204807908554,5000
total_rbf,RMSE,2.989982955373969,2.2034488756152033,3.768924474851353,5000
total_rbf,R2,0.11925092571379536,-0.26220536955070656,0.37024572525059685,5000
total_rbf,Spearman_rho,0.39837988874865193,0.09138201439334022,0.6365486961881439,5000
total_cdf_rbf,MAE,2.5101970870593777,1.9461757138692157,3.186770554493765,5000
total_cdf_rbf,RMSE,3.3343584992172297,2.4062444222137427,4.3974914044612285,5000
total_cdf_rbf,R2,-0.095315803944783,-0.4026046080510154,0.21678923443745854,5000
total_cdf_rbf,Spearman_rho,0.26101689283299634,-0.036277062335607825,0.5337698810593616,5000
total_wasserstein,MAE,2.2714550305500385,1.739309299178738,2.8653626749642926,5000
total_wasserstein,RMSE,3.0226082370551692,2.296755774019546,3.7933290478826205,5000
total_wasserstein,R2,0.09992542671657934,-0.25374504633819134,0.34132824588353355,5000
total_wasserstein,Spearman_rho,0.36329112345534587,0.07522625595204831,0.596157584730805,5000
static_plus_li_wasserstein,MAE,2.042951915033528,1.6187704353769967,2.499191944062091,5000
static_plus_li_wasserstein,RMSE,2.5710687152930656,1.984271243899869,3.1373309497939856,5000
static_plus_li_wasserstein,R2,0.3487583949448422,0.04031862553989598,0.5166451788301335,5000
static_plus_li_wasserstein,Spearman_rho,0.6173446644161823,0.39801279821024665,0.7832313287752,5000
static_plus_total_wasserstein,MAE,2.3305555595868506,1.7736834876516037,2.933070324086087,5000
static_plus_total_wasserstein,RMSE,3.0842849950271733,2.3944138421300525,3.733018420963124,5000
static_plus_total_wasserstein,R2,0.06281835920161039,-0.4729711335041561,0.3435663601516218,5000
static_plus_total_wasserstein,Spearman_rho,0.39375578789604576,0.11002381183428568,0.6347716009075318,5000
static_plus_li_plus_total,MAE,2.0032668725193576,1.5997457368941976,2.439520679779251,5000
static_plus_li_plus_total,RMSE,2.4983055846191813,1.9394303039490621,3.037698409731837,5000
static_plus_li_plus_total,R2,0.38509802531087955,0.10360637039036803,0.540413426062116,5000
static_plus_li_plus_total,Spearman_rho,0.6346986429100809,0.4221290263738339,0.7943288977360923,5000
