scale_mult,weights,alpha,cv_MAE,cv_MAE_sd,model,search_scope
0.25,"(1.0,)",9.999999999999999e-06,4.425997751907679,2.5332076336805405,static_rbf,outer_fold_1
0.25,"(1.0,)",0.00021544346900318823,2.173536724422316,0.26611308743398804,static_rbf,outer_fold_1
0.25,"(1.0,)",0.004641588833612777,1.952863936154068,0.28699678611732626,static_rbf,outer_fold_1
0.25,"(1.0,)",0.1,1.9059451539628043,0.2863032334382994,static_rbf,outer_fold_1
0.25,"(1.0,)",2.154434690031882,2.2074953402103357,0.4703928293913672,static_rbf,outer_fold_1
0.25,"(1.0,)",46.41588833612773,2.6105718491904923,0.5861134088607504,static_rbf,outer_fold_1
0.25,"(1.0,)",1000.0,2.6677544894445395,0.5731612050023395,static_rbf,outer_fold_1
0.5,"(1.0,)",9.999999999999999e-06,5.6843771041600855,1.185453129522225,static_rbf,outer_fold_1
0.5,"(1.0,)",0.00021544346900318823,2.4320455548723516,0.34495309154352854,static_rbf,outer_fold_1
0.5,"(1.0,)",0.004641588833612777,1.8045908748651667,0.25329502532190945,static_rbf,outer_fold_1
0.5,"(1.0,)",0.1,1.6604676544808592,0.33447863979051046,static_rbf,outer_fold_1
0.5,"(1.0,)",2.154434690031882,2.1218614984871222,0.5111165000150236,static_rbf,outer_fold_1
0.5,"(1.0,)",46.41588833612773,2.589495641742245,0.5890012769191003,static_rbf,outer_fold_1
0.5,"(1.0,)",1000.0,2.666868049248533,0.5730428995487209,static_rbf,outer_fold_1
1.0,"(1.0,)",9.999999999999999e-06,6.827331360368905,0.8894960345167108,static_rbf,outer_fold_1
1.0,"(1.0,)",0.00021544346900318823,3.68235073399302,0.4879249954056843,static_rbf,outer_fold_1
1.0,"(1.0,)",0.004641588833612777,1.9922129171964857,0.20166004688343783,static_rbf,outer_fold_1
1.0,"(1.0,)",0.1,1.9042075698177874,0.3698179263857252,static_rbf,outer_fold_1
1.0,"(1.0,)",2.154434690031882,2.2740112999730653,0.5357975397685729,static_rbf,outer_fold_1
1.0,"(1.0,)",46.41588833612773,2.6242000246731654,0.5789653738991379,static_rbf,outer_fold_1
1.0,"(1.0,)",1000.0,2.6687649722679363,0.572267790155953,static_rbf,outer_fold_1
2.0,"(1.0,)",9.999999999999999e-06,10.38329560837596,4.03885666660668,static_rbf,outer_fold_1
2.0,"(1.0,)",0.00021544346900318823,4.169329977200338,1.1040639980634481,static_rbf,outer_fold_1
2.0,"(1.0,)",0.004641588833612777,2.3016557999663325,0.3063751923279779,static_rbf,outer_fold_1
2.0,"(1.0,)",0.1,2.209813810822138,0.30136413919649413,static_rbf,outer_fold_1
2.0,"(1.0,)",2.154434690031882,2.484156144199704,0.5371954888463604,static_rbf,outer_fold_1
2.0,"(1.0,)",46.41588833612773,2.6584043545027165,0.5712023794795047,static_rbf,outer_fold_1
2.0,"(1.0,)",1000.0,2.670448129349179,0.571844019241812,static_rbf,outer_fold_1
4.0,"(1.0,)",9.999999999999999e-06,10.414187122361636,6.2405750653237755,static_rbf,outer_fold_1
4.0,"(1.0,)",0.00021544346900318823,3.668591747021733,0.4016464804294168,static_rbf,outer_fold_1
4.0,"(1.0,)",0.004641588833612777,2.3866927537291502,0.31076768413043215,static_rbf,outer_fold_1
4.0,"(1.0,)",0.1,2.3418338326077457,0.3410254986610971,static_rbf,outer_fold_1
4.0,"(1.0,)",2.154434690031882,2.6111294366323987,0.5551330148133724,static_rbf,outer_fold_1
4.0,"(1.0,)",46.41588833612773,2.668099961442884,0.571196239446132,static_rbf,outer_fold_1
4.0,"(1.0,)",1000.0,2.670901824298252,0.571842300114003,static_rbf,outer_fold_1
0.25,"(1.0,)",9.999999999999999e-06,2.9236185748983603,0.48541035236208413,static_rbf,outer_fold_2
0.25,"(1.0,)",0.00021544346900318823,2.0112863202650453,0.4408751972333993,static_rbf,outer_fold_2
0.25,"(1.0,)",0.004641588833612777,2.058143245180463,0.2311158842762741,static_rbf,outer_fold_2
0.25,"(1.0,)",0.1,2.0679719038882665,0.19017700058409373,static_rbf,outer_fold_2
0.25,"(1.0,)",2.154434690031882,2.3404829140412557,0.3088606490159999,static_rbf,outer_fold_2
0.25,"(1.0,)",46.41588833612773,2.7777617395770746,0.47985875714192905,static_rbf,outer_fold_2
0.25,"(1.0,)",1000.0,2.912661866169967,0.5123487045953097,static_rbf,outer_fold_2
0.5,"(1.0,)",9.999999999999999e-06,6.816337199055745,1.7422241206793698,static_rbf,outer_fold_2
0.5,"(1.0,)",0.00021544346900318823,2.483286111054493,0.2874486489647547,static_rbf,outer_fold_2
0.5,"(1.0,)",0.004641588833612777,1.7053165228927254,0.5153009750334004,static_rbf,outer_fold_2
0.5,"(1.0,)",0.1,1.707743209639629,0.4034740533927529,static_rbf,outer_fold_2
0.5,"(1.0,)",2.154434690031882,2.0702227280588326,0.39744468323881404,static_rbf,outer_fold_2
0.5,"(1.0,)",46.41588833612773,2.7030804810530897,0.4564394261953491,static_rbf,outer_fold_2
0.5,"(1.0,)",1000.0,2.907837153104602,0.5104861742686857,static_rbf,outer_fold_2
1.0,"(1.0,)",9.999999999999999e-06,7.37659373883566,1.8496210900408432,static_rbf,outer_fold_2
1.0,"(1.0,)",0.00021544346900318823,2.934398734627664,1.0826149417319648,static_rbf,outer_fold_2
1.0,"(1.0,)",0.004641588833612777,1.9524094708877053,0.5590756624825487,static_rbf,outer_fold_2
1.0,"(1.0,)",0.1,1.911055694863352,0.3880508845927998,static_rbf,outer_fold_2
1.0,"(1.0,)",2.154434690031882,2.207875094982988,0.3578258701773361,static_rbf,outer_fold_2
1.0,"(1.0,)",46.41588833612773,2.796242755417381,0.49297371866323136,static_rbf,outer_fold_2
1.0,"(1.0,)",1000.0,2.914473743808839,0.5132648508834445,static_rbf,outer_fold_2
