Frequency_THz,Lithium_PDOS
-1.743682103224637,0.0
-1.639061193898252,0.0
-1.534440284571867,0.0
-1.429819375245482,0.0
-1.325198465919097,0.0
-1.220577556592712,0.0
-1.115956647266327,0.0
-1.011335737939942,0.0
-0.9067148286135569,0.0
-0.8020939192871719,0.0
-0.6974730099607869,0.0
-0.5928521006344019,0.0
-0.48823119130801684,0.0
-0.38361028198163183,0.0
-0.2789893726552468,0.0
-0.1743684633288618,0.0
-0.06974755400247679,0.0
0.03487335532390823,0.000250561883643495
0.13949426465029324,0.00439437902746174
0.24411517397667826,0.020497504296089767
0.34873608330306327,0.04544548715084087
0.4533569926294483,0.08000406310666021
0.5579779019558333,0.12803328283483287
0.6625988112822183,0.1971530648278586
0.7672197206086033,0.3246660395526179
0.8718406299349883,0.48432121427961994
0.9764615392613734,0.8669340619690292
1.0810824485877584,0.7447171264994361
1.1857033579141434,1.1406528924278707
1.2903242672405284,1.1796105935853873
1.3949451765669134,1.1319882010855242
1.4995660858932984,1.1551325423292171
1.6041869952196834,1.8544392876281621
1.7088079045460685,1.8814492597932835
1.8134288138724535,1.3124769944174974
1.9180497231988385,1.7857837558812932
2.0226706325252235,1.8917626260171925
2.1272915418516085,1.8640582104567756
2.2319124511779935,2.3549732497516476
2.336533360504378,2.5254237484566624
2.4411542698307636,3.3458767264938336
2.545775179157149,2.5638683755971043
2.6503960884835336,4.541748728719987
2.755016997809918,3.9276172778627587
2.8596379071363036,2.485376689120777
2.964258816462689,2.4409097029383697
3.0688797257890736,1.5596788465328326
3.173500635115458,3.7177328991339165
3.2781215444418437,2.0658464101206624
3.382742453768229,4.221647430723427
3.4873633630946137,3.5462970346634073
3.5919842724209983,4.755791429978104
3.6966051817473837,4.033683880513283
3.801226091073769,3.616342380410572
3.9058470004001538,7.543822232305531
4.010467909726538,6.715640002891698
4.115088819052923,6.24150100376886
4.219709728379309,5.561158584254832
4.324330637705694,4.1221650483589505
4.428951547032078,5.374948585599726
4.533572456358463,4.579779772637473
4.638193365684849,5.692260262748305
4.742814275011234,6.869902180425128
4.847435184337618,6.8008514375828435
4.9520560936640035,3.8513176162350065
5.056677002990389,5.329666068172278
5.161297912316774,8.098500229365047
5.265918821643158,4.044497343490358
5.3705397309695435,5.848701393488915
5.475160640295929,5.256188140118546
5.579781549622314,6.616378218743656
5.684402458948698,5.580170157878894
5.789023368275084,7.227934420590104
5.893644277601469,6.779438460477917
5.9982651869278545,7.171629111098418
6.102886096254238,6.553559833509736
6.207507005580624,6.053364455526543
6.312127914907009,6.796966482633125
6.416748824233393,7.48778562373931
6.521369733559778,4.826801057097541
6.625990642886164,8.410556377076883
6.730611552212549,4.646753840491449
6.835232461538935,6.556383068351
6.939853370865318,4.996052228867204
7.044474280191704,7.3373505523017375
7.149095189518089,6.717217558035629
7.253716098844473,9.453091378414644
7.358337008170858,7.142206770788582
7.462957917497244,8.694573033857449
7.567578826823629,7.4308903098226855
7.672199736150015,5.730239735295627
7.776820645476398,0.6393885157636172
7.881441554802784,4.351123252451354
7.986062464129169,1.0539654077344907
8.090683373455553,6.139023548216854
8.195304282781938,5.84829771210696
8.299925192108324,9.602501353180548
8.40454610143471,6.117648533054282
8.509167010761095,11.167583245337875
8.613787920087479,14.548120646734162
8.718408829413864,8.982930120394151
8.82302973874025,9.312932254687542
8.927650648066633,11.038200920353322
9.032271557393019,12.034975874569835
9.136892466719404,6.683374413295959
9.24151337604579,12.749490921357165
9.346134285372175,7.54314266831585
9.450755194698559,8.516708710092528
9.555376104024944,2.173668594456017
9.65999701335133,6.652388604992285
9.764617922677713,3.4623146823488566
9.869238832004099,4.595452575430208
9.973859741330484,1.752148860707106
10.07848065065687,4.671178733002494
10.183101559983255,7.337399545532494
10.287722469309639,6.858964347647291
10.392343378636024,2.164646578590541
10.49696428796241,6.505624365034612
10.601585197288793,10.98447485325994
10.706206106615179,1.886247369726569
10.810827015941564,6.247798851537769
10.91544792526795,6.7263976061628625
11.020068834594335,7.781910901995607
11.124689743920719,8.647600117695776
11.229310653247104,6.2939972675412275
11.33393156257349,7.940283992462812
11.438552471899873,10.008556283004848
11.543173381226259,10.834104405331145
11.647794290552644,7.92487527122833
11.75241519987903,4.12394835622794
11.857036109205415,4.503168755756129
11.961657018531799,18.951118008273287
12.066277927858184,5.402951076255339
12.17089883718457,14.842368202493873
12.275519746510954,8.15245218457166
12.380140655837339,8.723404973780589
12.484761565163724,16.076327124826037
12.58938247449011,8.335999805779878
12.694003383816495,3.029686193280115
12.798624293142879,1.2329103357824442
12.903245202469265,9.355960246171305
13.00786611179565,0.35304563320446924
13.112487021122034,39.27952006527356
13.21710793044842,0.0
13.321728839774805,0.0
13.42634974910119,14.156350271193892
13.530970658427576,0.0
13.63559156775396,0.0
13.740212477080345,0.0
13.84483338640673,1.353221941886262
13.949454295733114,0.0
14.0540752050595,0.0
14.158696114385885,0.0
14.26331702371227,0.0
14.367937933038656,0.0
14.472558842365041,0.0
14.577179751691423,0.0
14.681800661017808,0.0
14.786421570344194,0.0
14.89104247967058,0.0
14.995663388996965,0.0
15.10028429832335,0.0
15.204905207649736,0.0
15.309526116976121,0.0
15.414147026302507,0.0
15.518767935628889,0.0
15.623388844955274,0.0
15.72800975428166,0.0
15.832630663608045,0.0
15.93725157293443,0.0
16.041872482260818,0.0
16.146493391587203,0.0
16.251114300913585,0.0
16.35573521023997,0.2473473869657511
16.460356119566356,0.7523517793443796
16.56497702889274,0.19085415836632663
16.669597938219127,0.08363066709975528
16.774218847545512,0.0
16.878839756871898,0.07535015281128729
16.983460666198283,0.18216119105381223
17.08808157552467,0.08964918334484742
17.19270248485105,0.3418029161858886
17.297323394177436,0.4684679128056969
17.40194430350382,0.2897280618236146
17.506565212830207,0.0
17.611186122156592,0.0
17.715807031482978,0.0
17.820427940809363,0.0
17.925048850135745,0.0
18.02966975946213,0.0
18.134290668788516,0.0
18.2389115781149,0.0
18.343532487441287,0.0
18.448153396767673,0.0
18.552774306094058,0.0
18.657395215420443,0.0
18.76201612474683,0.0
18.86663703407321,0.0
