Frequency_THz,Lithium_PDOS
-1.6584984544411068,0.0
-1.553824178100964,0.0
-1.4491499017608214,0.0
-1.3444756254206787,0.0
-1.239801349080536,0.0
-1.1351270727403933,0.0
-1.0304527964002506,0.0
-0.9257785200601079,0.0
-0.8211042437199652,0.0
-0.7164299673798225,0.0
-0.6117556910396797,0.0
-0.507081414699537,0.0
-0.40240713835939435,0.0
-0.29773286201925164,0.0
-0.19305858567910894,0.0
-0.08838430933896624,0.0
0.016289967001176464,0.0
0.12096424334131917,0.0038173825035420976
0.22563851968146187,0.015725686460374547
0.33031279602160457,0.03504633821046777
0.4349870723617473,0.06312511387331239
0.5396613487018902,0.10155330707719532
0.6443356250420327,0.1581137128924214
0.7490099013821752,0.25571855741920274
0.8536841777223181,0.6339774761001269
0.958358454062461,1.5992707191738573
1.0630327304026035,1.3192071576896127
1.167707006742746,1.5342007818101542
1.272381283082889,1.650575033514717
1.3770555594230318,1.0576884368897408
1.4817298357631743,1.7945008834189582
1.5864041121033168,2.0665326838629627
1.6910783884434597,1.3749340678843038
1.7957526647836026,1.920424837203264
1.900426941123745,1.7930160713098893
2.0051012174638876,1.6141949821746466
2.1097754938040305,2.2088187063888904
2.2144497701441734,2.2238029906301207
2.319124046484316,3.9300582839804044
2.4237983228244584,4.332127047512563
2.5284725991646013,4.143529380547009
2.6331468755047442,2.0079463707935146
2.737821151844887,3.5220449994862797
2.842495428185029,4.504221648996123
2.947169704525172,3.7607485236587914
3.051843980865315,3.062339537236959
3.156518257205457,5.0181140248409974
3.2611925335456,4.776099301773669
3.365866809885743,9.343557528640773
3.470541086225886,4.750011293338402
3.575215362566029,4.728984809667699
3.679889638906171,4.624960307635294
3.7845639152463137,11.532477474477245
3.8892381915864567,0.3856724845497835
3.9939124679265987,8.758349447288044
4.098586744266742,5.147692894083468
4.203261020606885,9.25540896986202
4.3079352969470275,6.570826754877485
4.41260957328717,3.8364285336999258
4.517283849627312,7.1913404170360975
4.621958125967455,4.485521820164073
4.726632402307598,4.623055966523901
4.83130667864774,8.083762799132469
4.935980954987883,6.076422099736557
5.040655231328026,6.141431604395224
5.145329507668169,4.492139381903639
5.250003784008312,5.699425075036795
5.354678060348454,3.486055066854761
5.459352336688597,5.21347555616889
5.56402661302874,4.971400267397626
5.668700889368882,4.803110118846164
5.773375165709025,4.8709213343389495
5.878049442049168,4.793803606948347
5.982723718389311,5.16149840852808
6.087397994729454,6.537910244036994
6.192072271069596,4.435789167779955
6.296746547409739,7.561034604716059
6.401420823749881,4.899432362091866
6.506095100090024,4.749666714492228
6.6107693764301665,4.588411184459774
6.715443652770309,5.03117078398834
6.820117929110452,5.382304877425097
6.924792205450595,5.25443360215671
7.029466481790738,6.034557139976396
7.134140758130881,5.351726984506382
7.238815034471022,4.156382058640016
7.343489310811165,4.083188918854925
7.448163587151308,4.953187515832474
7.552837863491451,5.740854103975259
7.657512139831594,6.153998036967583
7.762186416171737,5.949117300196612
7.86686069251188,5.168386901768152
7.971534968852021,4.827186382271115
8.076209245192164,3.266224292239042
8.180883521532307,1.8217338853345348
8.28555779787245,1.7005512141178551
8.390232074212593,6.424843159815873
8.494906350552736,2.891456806849656
8.599580626892878,1.082049190841748
8.704254903233021,7.452635178165706
8.808929179573164,6.632415491631995
8.913603455913305,0.9240088185973915
9.018277732253448,8.210528032695985
9.122952008593591,21.003759492432586
9.227626284933734,11.144321761952666
9.332300561273877,10.864126694148881
9.43697483761402,11.873879609105582
9.541649113954163,6.908001208421157
9.646323390294304,15.014937034843566
9.750997666634447,5.69130206516316
9.85567194297459,13.769294980707912
9.960346219314733,10.157403527383464
10.065020495654876,10.990559310519187
10.169694771995019,4.229790903889798
10.274369048335162,5.644839500215227
10.379043324675305,9.757915390940418
10.483717601015448,6.377931297212366
10.588391877355589,2.8826728147310345
10.693066153695732,8.723368964867438
10.797740430035875,4.627283748291697
10.902414706376018,3.2360742499209034
11.00708898271616,5.204655735847245
11.111763259056303,11.189893305834724
11.216437535396446,17.391140748089697
11.321111811736587,1.4877167235454396
11.42578608807673,4.8883100836692
11.530460364416873,6.3589810604878885
11.635134640757016,0.0
11.73980891709716,9.02333391631748
11.844483193437302,9.34550640597086
11.949157469777445,4.435367776578349
12.053831746117588,1.6236743282068984
12.15850602245773,20.837649742858716
12.263180298797872,5.976586011862582
12.367854575138015,12.32306874735497
12.472528851478158,11.742836698451233
12.5772031278183,9.30544179248679
12.681877404158444,5.161466544919887
12.786551680498587,3.9852759542442313
12.89122595683873,0.0
12.99590023317887,0.0
13.100574509519014,0.0
13.205248785859157,0.0
13.3099230621993,6.337694997280101
13.414597338539442,23.155198321742755
13.519271614879585,0.0
13.623945891219728,0.0
13.728620167559871,0.0
13.833294443900014,0.0
13.937968720240155,0.0
14.042642996580298,0.0
14.147317272920441,0.0
14.251991549260584,0.0
14.356665825600727,0.0
14.461340101940868,0.0
14.566014378281013,0.0
14.670688654621154,0.0
14.775362930961299,0.0
14.88003720730144,0.0
14.984711483641584,0.0
15.089385759981726,0.0
15.194060036321867,0.0
15.298734312662011,0.0
15.403408589002153,0.0
15.508082865342297,0.0
15.612757141682438,0.0
15.717431418022583,0.0
15.822105694362724,0.0
15.926779970702869,0.38111040058315476
16.03145424704301,0.48933217566044784
16.13612852338315,0.0
16.240802799723298,0.6362947879829539
16.34547707606344,0.28252064181822834
16.45015135240358,0.26059215755871484
16.55482562874372,0.48405610282428607
16.65949990508387,0.4976937280194283
16.76417418142401,0.5050208995788297
16.86884845776415,0.05440526630277116
16.973522734104293,0.15279416629533438
17.078197010444434,0.12873025193060253
17.182871286784582,0.2899084087602071
17.287545563124723,0.10086964242181891
17.392219839464865,0.29300102638219094
17.496894115805006,0.09956976525791951
17.601568392145147,0.0
17.706242668485295,0.0
17.810916944825436,0.0
17.915591221165577,0.0
18.02026549750572,0.0
18.124939773845867,0.0
18.229614050186008,0.0
18.33428832652615,0.0
18.43896260286629,0.0
18.54363687920643,0.0
18.64831115554658,0.0
18.75298543188672,0.0
18.857659708226862,0.0
18.962333984567003,0.0
19.06700826090715,0.0
19.171682537247293,0.0
19.276356813587434,0.0
