Frequency_THz,Total_DOS
-51.97011335080534,0.0
-48.84632028455001,0.0
-45.72252721829468,0.0
-42.59873415203935,0.0
-39.47494108578402,0.0
-36.35114801952869,0.0
-33.227354953273355,0.0
-30.103561887018024,0.0
-26.979768820762693,0.0
-23.855975754507362,0.0
-20.73218268825203,0.0
-17.6083896219967,0.0
-14.48459655574137,0.0
-11.360803489486038,0.0
-8.237010423230707,0.0
-5.113217356975376,0.0
-1.989424290720045,0.0
1.134368775535286,8.337413335056606
4.258161841790617,18.124043203637502
7.381954908045948,19.443006410940438
10.50574797430128,19.7528822224227
13.62954104055661,6.5459714046720805
16.75333410681194,0.0
19.877127173067272,0.0
23.000920239322603,0.0
26.124713305577934,0.0
29.248506371833265,0.0
32.372299438088596,0.0
35.49609250434393,0.0
38.61988557059926,0.0
41.74367863685459,0.0
44.86747170310992,0.0
47.99126476936525,0.0
51.11505783562058,0.0
54.238850901875914,0.0
57.362643968131245,0.0
60.486437034386576,0.0
63.61023010064191,0.0
66.73402316689723,0.0
69.85781623315256,0.0
72.98160929940789,0.0
76.10540236566322,0.0
79.22919543191855,0.0
82.35298849817389,0.0
85.47678156442922,0.0
88.60057463068455,0.0
91.72436769693988,0.0
94.84816076319521,0.0
97.97195382945054,0.0
101.09574689570587,0.0
104.2195399619612,0.0
107.34333302821653,0.0
110.46712609447187,0.0
113.5909191607272,0.0
116.71471222698253,0.0
119.83850529323786,0.0
122.96229835949319,0.0
126.08609142574852,0.0
129.20988449200385,0.0
132.33367755825918,0.0
135.4574706245145,0.0
138.58126369076984,0.0
141.70505675702518,0.0
144.8288498232805,0.0
147.95264288953584,0.0
151.07643595579117,0.0
154.2002290220465,0.0
157.32402208830183,0.0
160.44781515455716,0.0
163.5716082208125,0.0
166.69540128706782,0.0
169.81919435332316,0.0
172.9429874195785,0.0
176.06678048583382,0.0
179.19057355208915,0.0
182.31436661834448,0.0
185.4381596845998,0.0
188.56195275085514,0.0
191.68574581711047,0.0
194.8095388833658,0.0
197.93333194962113,0.0
201.05712501587647,0.0
204.1809180821318,0.0
207.30471114838716,0.0
210.42850421464246,0.0
213.55229728089776,0.0
216.67609034715312,0.0
219.79988341340848,0.0
222.92367647966378,0.0
226.04746954591909,0.0
229.17126261217444,0.0
232.2950556784298,0.0
235.4188487446851,0.0
238.5426418109404,0.0
241.66643487719577,0.0
244.79022794345113,0.0
247.91402100970643,0.0
251.03781407596173,0.0
254.1616071422171,0.0
257.2854002084725,0.0
260.4091932747278,0.0
263.5329863409831,0.0
266.65677940723845,0.0
269.7805724734938,0.0
272.9043655397491,0.0
276.0281586060044,0.0
279.15195167225977,0.0
282.27574473851513,0.0
285.39953780477043,0.0
288.52333087102573,0.0
291.6471239372811,0.0
294.77091700353645,0.0
297.89471006979176,0.0
301.01850313604706,0.0
304.1422962023024,0.0
307.2660892685578,0.0
310.3898823348131,0.0
313.5136754010684,0.0
316.63746846732374,0.0
319.7612615335791,0.0
322.8850545998344,0.0
326.0088476660897,0.0
329.13264073234507,0.0
332.2564337986004,0.0
335.38022686485573,0.0
338.50401993111103,0.0
341.6278129973664,0.0
344.75160606362175,0.0
347.87539912987705,0.0
350.99919219613236,0.0
354.1229852623877,0.0
357.2467783286431,0.0
360.3705713948984,0.0
363.4943644611537,0.0
366.61815752740904,0.0
369.7419505936644,0.0
372.8657436599197,0.0
375.989536726175,0.0
379.11332979243036,0.0
382.2371228586857,0.0
385.360915924941,0.0
388.4847089911963,0.0
391.6085020574517,0.0
394.73229512370705,0.0
397.85608818996235,0.0
400.97988125621765,0.0
404.103674322473,0.0
407.22746738872837,0.0
410.3512604549837,0.0
413.475053521239,0.0
416.59884658749434,0.0
419.7226396537497,0.0
422.846432720005,0.0
425.9702257862603,0.0
429.09401885251566,0.0
432.217811918771,0.0
435.3416049850263,0.0
438.4653980512816,0.0
441.589191117537,0.0
444.71298418379234,0.0
447.83677725004765,0.0
450.96057031630295,0.0
454.0843633825583,0.0
457.20815644881367,0.0
460.33194951506897,0.0
463.4557425813243,0.0
466.5795356475797,0.0
469.703328713835,0.0
472.8271217800903,0.0
475.9509148463456,0.0
479.0747079126009,0.0
482.1985009788563,0.0
485.3222940451116,0.0
488.4460871113669,0.0
491.56988017762234,0.0
494.69367324387764,0.0
497.81746631013294,0.0
500.94125937638825,0.0
504.06505244264355,0.0
507.18884550889896,0.0
510.31263857515427,0.0
513.4364316414095,0.0
516.5602247076649,0.0
519.6840177739202,0.0
522.8078108401755,0.0
525.9316039064308,0.0
529.0553969726861,0.0
532.1791900389416,0.0
535.3029831051969,0.0
538.4267761714522,0.0
541.5505692377076,0.0
544.6743623039629,0.0
547.7981553702182,0.0
550.9219484364735,0.0
554.0457415027288,0.0
557.1695345689842,0.0
560.2933276352395,0.0
563.4171207014948,0.0
566.5409137677502,0.0
569.6647068340055,0.0
572.7884999002608,0.0
