split,representation,bin_width_THz,feature,bin_low_THz,bin_high_THz,bin_center_THz,n,transform,pearson_r,pearson_ci95_low,pearson_ci95_high,pearson_p_analytic,pearson_p_fdr,pearson_p_permutation,pearson_p_maxT,spearman_rho,spearman_ci95_low,spearman_ci95_high,spearman_p_analytic,spearman_p_fdr,spearman_p_permutation,spearman_p_maxT,mutual_information,mi_p_permutation,mi_p_maxT,distance_correlation,linear_cv_R2,spline_cv_R2,nonlinear_spline_gain_R2
train,li_participation,2.0,paired_000.00_002.00THz,0.0,2.0,1.0,214,none,0.15186745026876908,0.035602476,0.25757062,0.02631583795505243,0.06275315204666349,0.027994401119776045,0.41211757648470304,0.3223182106732195,0.20355959,0.43602547,1.4598083574236276e-06,5.028228786681383e-06,0.0001999600079984003,0.0001999600079984003,,,,,,,
train,li_participation,2.0,paired_002.00_004.00THz,2.0,4.0,3.0,214,none,0.2837522208715135,0.15391508,0.40647373,2.5138112580320828e-05,0.00011132592714142082,0.0003999200159968006,0.001799640071985603,0.47715080448492225,0.37530354,0.5689147,1.445129491082535e-13,2.2399507111779295e-12,0.0001999600079984003,0.0001999600079984003,,,,,,,
train,li_participation,2.0,paired_004.00_006.00THz,4.0,6.0,5.0,214,none,0.45608831744280587,0.36908406,0.5467058,2.1662334797084947e-12,4.6244288816186045e-11,0.0001999600079984003,0.0001999600079984003,0.5272066390619626,0.42726725,0.6192536,1.0458973280918436e-16,3.2422817170847152e-15,0.0001999600079984003,0.0001999600079984003,,,,,,,
train,li_participation,2.0,paired_006.00_008.00THz,6.0,8.0,7.0,214,none,0.33178096112113115,0.22988766,0.43810302,6.816864852984656e-07,5.283070261063108e-06,0.0001999600079984003,0.0001999600079984003,0.3475207242418402,0.23289733,0.45680398,1.813055672460756e-07,8.029246549469062e-07,0.0001999600079984003,0.0001999600079984003,,,,,,,
train,li_participation,2.0,paired_008.00_010.00THz,8.0,10.0,9.0,214,none,0.22323563137842037,0.09506345,0.35918587,0.0010085792153219728,0.003473995074997906,0.0011997600479904018,0.08518296340731854,0.2814724830261152,0.15412478,0.40230125,2.9374782036733745e-05,9.10618243138746e-05,0.0001999600079984003,0.0005998800239952009,,,,,,,
train,li_participation,2.0,paired_010.00_012.00THz,10.0,12.0,11.0,214,none,0.1617751532391472,0.03920322,0.29509705,0.017868718093092702,0.05035729644417034,0.021795640871825634,0.31853629274145173,0.2653428498374569,0.14583787,0.3829397,8.509847945426518e-05,0.00021983773859018507,0.0001999600079984003,0.0009998000399920016,,,,,,,
train,li_participation,2.0,paired_012.00_014.00THz,12.0,14.0,13.0,214,none,0.16289155676404846,0.036836985,0.2926697,0.017084130332291628,0.05035729644417034,0.020595880823835233,0.3103379324135173,0.24793948242193126,0.12576543,0.35834387,0.0002491202605282102,0.0005940560058749628,0.0003999200159968006,0.0027994401119776045,,,,,,,
train,li_participation,2.0,paired_014.00_016.00THz,14.0,16.0,15.0,214,none,-0.1290258122586294,-0.25426918,0.0005336039,0.05952251544487707,0.12301319858607927,0.0611877624475105,0.6530693861227754,-0.14369581240807294,-0.2599457,-0.03061081,0.03566808544351484,0.06910691554681,0.03839232153569286,0.4251149770045991,,,,,,,
train,li_participation,2.0,paired_016.00_018.00THz,16.0,18.0,17.0,214,none,-0.09052486810754097,-0.20735064,0.014423632,0.18709597441194137,0.3052618529879043,0.20035992801439712,0.9652069586082783,-0.06299950210446534,-0.17910779,0.041026134,0.3590813642539854,0.45982563338406746,0.35952809438112376,0.9996000799840032,,,,,,,
train,li_participation,2.0,paired_018.00_020.00THz,18.0,20.0,19.0,214,none,-0.05537841845112747,-0.15239383,0.033617616,0.4202483843605538,0.5672822459935384,0.4301139772045591,1.0,-0.4206497914580774,-0.5178632,-0.31416094,1.3827686312951797e-10,1.4288609190050191e-09,0.0001999600079984003,0.0001999600079984003,,,,,,,
